代码,名称,月初开盘,月末收盘,3月涨幅(%),单日最大涨幅,单日最大跌幅,日均成交额(万)
002648.SZ,卫星化学(石化),23.98,27.78,15.85,10.02,-6.25,255.0
600989.SH,宝丰能源(煤制尿素),26.31,30.1,14.41,10.02,-5.52,659.0
601898.SH,中煤能源(煤制尿素),16.0,17.88,11.75,9.1,-7.69,139.0
000792.SZ,盐湖股份(氯化钾),38.6,39.45,2.2,7.06,-6.06,385.0
002588.SZ,史丹利(复合肥),11.15,10.58,-5.11,5.95,-7.57,33.0
002539.SZ,云图控股(复合肥),16.0,14.54,-9.13,4.38,-6.2,57.0
600426.SH,华鲁恒升(煤化工),40.5,36.31,-10.35,6.89,-5.31,153.0
000059.SZ,华锦股份(化肥/石化),6.3,5.52,-12.38,5.37,-7.8,36.0
000902.SZ,新洋丰(磷复肥),18.44,15.89,-13.83,6.26,-5.56,41.0
000830.SZ,鲁西化工(化肥/化工),19.78,16.19,-18.15,7.9,-8.11,100.0
600346.SH,恒力石化(炼化),26.65,21.36,-19.85,6.77,-9.78,134.0
600096.SH,云天化(磷肥/尿素),45.32,34.78,-23.26,4.84,-6.39,361.0
600141.SH,兴发集团(磷化工),44.0,33.72,-23.36,5.03,-8.51,133.0
600230.SH,沧州大化(TDI/尿素),24.26,18.26,-24.73,7.14,-9.36,57.0
