代码,名称,行业类型,最新价,涨幅(%),量比,MACD,乖离率(%),信号
000989,九芝堂,未知,9.38,7.2,2.98,0.0417,5.93,收盘>MA20 | 刚突破MA20 | MACD>0 | 量比3.0 | 乖离率5.9%
002940,昂利康,未知,31.16,7.01,2.44,0.2471,3.88,收盘>MA20 | 刚突破MA20 | MACD>0 | 量比2.4 | 乖离率3.9%
000036,华联控股,未知,5.21,5.04,2.06,0.0774,3.26,收盘>MA20 | 刚突破MA20 | MACD>0 | 量比2.1 | 乖离率3.3%
300730,科创信息,未知,13.77,6.91,2.06,0.1368,5.98,收盘>MA20 | 刚突破MA20 | MACD>0 | 量比2.1 | 乖离率6.0% | MA5>MA10
002685,华东重机,未知,7.32,7.33,1.97,0.0345,3.71,收盘>MA20 | 刚突破MA20 | MACD>0 | 量比2.0(弱) | 乖离率3.7%
300723,一品红,未知,32.47,8.05,1.9,0.1428,2.44,收盘>MA20 | 刚突破MA20 | MACD>0 | 量比1.9(弱) | 乖离率2.4%
002422,科伦药业,未知,34.92,8.75,1.83,0.2009,7.59,收盘>MA20 | 刚突破MA20 | MACD>0 | 量比1.8(弱) | 乖离率7.6%
688221,前沿生物-U,未知,19.91,7.22,1.64,0.2933,4.21,收盘>MA20 | 刚突破MA20 | MACD>0 | 量比1.6(弱) | 乖离率4.2%
300558,贝达药业,未知,43.28,5.61,1.6,0.0379,0.62,收盘>MA20 | 刚突破MA20 | MACD>0 | 量比1.6(弱) | 乖离率0.6%
002317,众生药业,未知,18.53,5.46,1.54,0.1754,3.34,收盘>MA20 | 刚突破MA20 | MACD>0 | 量比1.5(弱) | 乖离率3.3%
